url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/impiricus/jobs/4993696008	2026-04-21	Greenhouse WebSearch	QA Automation Engineer	Impiricus	added
https://weworkremotely.com/remote-jobs/mediavine-software-test-engineer-sdet	2026-04-21	WeWorkRemotely WebSearch	Software Test Engineer / SDET	Mediavine	added
https://weworkremotely.com/remote-jobs/kodekloud-senior-sdet-automation	2026-04-21	WeWorkRemotely WebSearch	Senior SDET (Automation)	KodeKloud	added
https://remotive.com/remote/jobs/qa/senior-software-development-engineer-in-test-3873887	2026-04-21	Remotive WebSearch	Senior Software Development Engineer in Test	Newfold Digital	added
https://builtin.com/job/software-development-engineer-testsdet-automation/3553558	2026-04-21	BuiltIn WebSearch	Software Development Engineer in Test (SDET – Automation)	Stryker	added
https://builtin.com/job/engineer/software-development-engineer-test-sdet-ii/1513863	2026-04-21	BuiltIn WebSearch	Software Development Engineer in Test (SDET) II	City National Bank	added
https://jobs.lever.co/whoop/b7f75849-b5c0-49fe-8d24-50cbb39d284d	2026-04-21	Lever WebSearch	Software Engineer I (Quality)	Whoop	added
https://jobs.lever.co/shyftlabs/db3c7a45-b114-48cc-8c3a-c1a8567eab9e	2026-04-21	Lever WebSearch	Senior QA Automation Engineer / SDET	ShyftLabs	added
https://www.workatastartup.com/jobs/91419	2026-04-21	WorkAtAStartup WebSearch	Software Development Engineer in Test II	HackerRank	added
https://apply.workable.com/audible-magic/j/FA191074D7	2026-04-21	Workable WebSearch	SDET (QA Automation Engineer)	Audible Magic	added
https://apply.workable.com/1kosmos/j/86C8993ACA	2026-04-21	Workable WebSearch	Test Automation Engineer	1Kosmos	added
https://himalayas.app/companies/emergent-software/jobs/senior-development-engineer-in-test-sdet-contract	2026-04-21	Himalayas WebSearch	Senior Development Engineer in Test (SDET) – Contract	Emergent Software	added
https://job-boards.greenhouse.io/assystinc/jobs/4224641009	2026-04-21	Greenhouse WebSearch	Senior QA Automation Engineer	ASSYST	added
https://builtin.com/job/sdet-sw-test-automation-engineer-3-qa/6503283	2026-04-21	BuiltIn WebSearch	SDET – SW Test Automation Engineer Level 3	Chamberlain Group	added
https://builtin.com/job/release-engineering-and-test-automation-team-lead/3994620	2026-04-21	BuiltIn WebSearch	Software Development Engineer in Test (SDET) Manager	Koddi	added
https://builtin.com/job/software-developer-engineer-test-sdet/4020535	2026-04-21	BuiltIn WebSearch	Software Developer Engineer in Test (SDET)	BECU	added
https://builtin.com/job/software-development-engineer-test-sdet/2808426	2026-04-21	BuiltIn WebSearch	Software Development Engineer in Test (SDET)	Toyota Connected North America	added
https://job-boards.greenhouse.io/gleanwork/jobs/4012824005	2026-04-07	Greenhouse API — Glean	Quality Assurance Engineer	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4464005005	2026-04-07	Greenhouse API — Glean	Quality Assurance Lead	Glean	added
https://boards.greenhouse.io/bobsledinc/jobs/4385159005	2026-04-07	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Bobsled	added
https://boards.greenhouse.io/phaidra/jobs/4255419005	2026-04-07	Greenhouse WebSearch — SDET	Senior SDET	Phaidra	added
https://job-boards.greenhouse.io/qgenda/jobs/4103637008	2026-04-07	Greenhouse WebSearch — SDET	Software Development Engineer in Test (SDET)	QGenda	added
https://boards.greenhouse.io/esri/jobs/5076375007	2026-04-07	Greenhouse WebSearch — SDET	Sr. Software Development Engineer in Test (SDET)	Esri	added
https://job-boards.greenhouse.io/keepersecurity/jobs/4183460009	2026-04-07	Greenhouse WebSearch — SDET	Senior SDET, API / Security	Keeper Security	added
https://job-boards.greenhouse.io/flex/jobs/4651948005	2026-04-07	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Flex	added
https://job-boards.greenhouse.io/eclinicalsolutions/jobs/5054566007	2026-04-07	Greenhouse WebSearch — SDET	Senior AI-Enabled Software Engineer in Test	eClinical Solutions	added
https://job-boards.greenhouse.io/upgrade/jobs/4497438005	2026-04-07	Greenhouse WebSearch — QA Automation	Senior QA Automation Engineer	Upgrade	added
https://job-boards.greenhouse.io/blackthorn/jobs/5848843004	2026-04-07	Greenhouse WebSearch — QA Automation	Sr. QA Engineer	Blackthorn.io	added
https://job-boards.greenhouse.io/coderoad/jobs/4136073009	2026-04-07	Greenhouse WebSearch — QA Automation	Senior QA Automation Engineer	CodeRoad	added
https://job-boards.greenhouse.io/exadelinc/jobs/5836698004	2026-04-07	Greenhouse WebSearch — QA Automation	Senior Automation QA Engineer	Exadel	added
https://job-boards.greenhouse.io/affinitiv/jobs/7601528003	2026-04-07	Greenhouse WebSearch — QA Automation	Software Test Engineer (Automation)	Affinitiv	added
https://job-boards.greenhouse.io/quisitivejobs/jobs/7773653	2026-04-07	Greenhouse WebSearch — QA Automation	Senior QA Engineer – Playwright & Test Automation	Quisitive	added
https://jobs.ashbyhq.com/ironcladhq/abfc15f3-c499-40a8-ab65-efb6ff499b90	2026-04-07	Ashby WebSearch — SDET	Automation Quality Engineer II (SDET)	Ironclad	added
https://jobs.ashbyhq.com/it%20labs/02cf8f28-7ea8-4979-b98f-d69e77fae78f	2026-04-07	Ashby WebSearch — SDET	Senior SDET	IT Labs	added
https://jobs.ashbyhq.com/crackenagi/8fa95f75-5885-4f39-b1e7-62815d20e32a	2026-04-07	Ashby WebSearch — SDET	Software Development Engineer in Test (SDET)	Cracken	added
https://jobs.ashbyhq.com/jump/cd8335a7-5f3c-451e-87ba-b543b151628e	2026-04-07	Ashby WebSearch — SDET	Software Development Engineer in Test (SDET) II	Jump	added
https://jobs.ashbyhq.com/vCluster/ee07bd9e-7b1a-48c7-beda-06a3e740a0e7	2026-04-07	Ashby WebSearch — SDET	Senior Software Development Engineer in Test	vCluster Labs	added
